search_term,stockcode,name,brand,price,cup_price,package_size,image_url,url
milk,208064,a2 Milk Full Cream Milk,a2,7.3,$3.65 / 1L,2L,https://cdn0.woolworths.media/content/wowproductimages/small/208064.jpg,https://www.woolworths.com.au/shop/productdetails/208064
milk,6073909,Full+ On The Go Meal Replacement Chocolate,Full+,5.95,$12.40 / 1L,480mL,https://cdn0.woolworths.media/content/wowproductimages/small/6073909.jpg,https://www.woolworths.com.au/shop/productdetails/6073909
milk,6074037,Full+ On The Go Meal Replacement Iced Coffee,Full+,5.95,$12.40 / 1L,480mL,https://cdn0.woolworths.media/content/wowproductimages/small/6074037.jpg,https://www.woolworths.com.au/shop/productdetails/6074037
milk,797407,a2 Milk Full Cream Milk,a2,10.5,$3.50 / 1L,3L,https://cdn0.woolworths.media/content/wowproductimages/small/797407.jpg,https://www.woolworths.com.au/shop/productdetails/797407
milk,888140,Woolworths Full Cream Milk,Woolworths,5.15,$1.72 / 1L,3L,https://cdn0.woolworths.media/content/wowproductimages/small/888140.jpg,https://www.woolworths.com.au/shop/productdetails/888140
milk,888137,Woolworths Full Cream Milk,Woolworths,3.55,$1.78 / 1L,2L,https://cdn0.woolworths.media/content/wowproductimages/small/888137.jpg,https://www.woolworths.com.au/shop/productdetails/888137
milk,88436,Dairy Farmers Full Cream Milk Full Cream Milk,Dairy Farmers,4.7,$2.35 / 1L,2L,https://cdn0.woolworths.media/content/wowproductimages/small/088436.jpg,https://www.woolworths.com.au/shop/productdetails/88436
milk,50923,Woolworths Full Cream Milk,Woolworths,1.85,$1.85 / 1L,1L,https://cdn0.woolworths.media/content/wowproductimages/small/050923.jpg,https://www.woolworths.com.au/shop/productdetails/50923
milk,405010,Farmhouse Gold Full Cream Milk Full Cream Milk,Farmhouse Gold,4.95,$3.30 / 1L,1.5L,https://cdn0.woolworths.media/content/wowproductimages/small/405010.jpg,https://www.woolworths.com.au/shop/productdetails/405010
milk,145536,Dairy Farmers Full Cream Milk,Dairy Farmers,3,$3.00 / 1L,1L,https://cdn0.woolworths.media/content/wowproductimages/small/145536.jpg,https://www.woolworths.com.au/shop/productdetails/145536
milk,6052122,Shake 2 Go Protein Liquid Recharge Milk Chocolate,Shake 2 Go,3.5,$10.00 / 1L,350mL,https://cdn0.woolworths.media/content/wowproductimages/small/6052122.jpg,https://www.woolworths.com.au/shop/productdetails/6052122
milk,6052006,Shake 2 Go Protein Liquid Recharge Milk Vanilla,Shake 2 Go,3.5,$10.00 / 1L,350mL,https://cdn0.woolworths.media/content/wowproductimages/small/6052006.jpg,https://www.woolworths.com.au/shop/productdetails/6052006
milk,208066,a2 Milk Light Milk,a2,7.3,$3.65 / 1L,2L,https://cdn0.woolworths.media/content/wowproductimages/small/208066.jpg,https://www.woolworths.com.au/shop/productdetails/208066
milk,6081704,Devondale High Protein Full Cream Long Life Milk,Devondale,2.5,$2.50 / 1L,1L,https://cdn0.woolworths.media/content/wowproductimages/small/6081704.jpg,https://www.woolworths.com.au/shop/productdetails/6081704
milk,64746,Dairy Farmers Full Cream Milk Full Cream Milk,Dairy Farmers,6.7,$2.23 / 1L,3L,https://cdn0.woolworths.media/content/wowproductimages/small/064746.jpg,https://www.woolworths.com.au/shop/productdetails/64746
milk,404984,Farmhouse Gold Unhomogenised Milk Unhomogenised,Farmhouse Gold,4.95,$3.30 / 1L,1.5L,https://cdn0.woolworths.media/content/wowproductimages/small/404984.jpg,https://www.woolworths.com.au/shop/productdetails/404984
milk,330251,Dairy Farmers Heart Active Milk,Dairy Farmers,4.1,$4.10 / 1L,1L,https://cdn0.woolworths.media/content/wowproductimages/small/330251.jpg,https://www.woolworths.com.au/shop/productdetails/330251
milk,44528,Norco Full Cream Milk,Norco,5.05,$2.53 / 1L,2L,https://cdn0.woolworths.media/content/wowproductimages/small/044528.jpg,https://www.woolworths.com.au/shop/productdetails/44528
milk,204746,Pauls Smarter White Low Fat Milk,Pauls,5.1,$2.55 / 1L,2L,https://cdn0.woolworths.media/content/wowproductimages/small/204746.jpg,https://www.woolworths.com.au/shop/productdetails/204746
milk,786816,Farmers Own Full Cream Milk,Farmers Own,5.85,$1.95 / 1L,3L,https://cdn0.woolworths.media/content/wowproductimages/small/786816.jpg,https://www.woolworths.com.au/shop/productdetails/786816
milk,365569,Macro Organic Full Cream Milk,Macro,2.5,$2.50 / 1L,1L,https://cdn0.woolworths.media/content/wowproductimages/small/365569.jpg,https://www.woolworths.com.au/shop/productdetails/365569
milk,785722,Pauls Zymil Lactose Free Full Cream Milk,Pauls,6.9,$3.45 / 1L,2L,https://cdn0.woolworths.media/content/wowproductimages/small/785722.jpg,https://www.woolworths.com.au/shop/productdetails/785722
milk,113887,Riverina Fresh Full Cream Milk,Riverina,5.15,$2.58 / 1L,2L,https://cdn0.woolworths.media/content/wowproductimages/small/113887.jpg,https://www.woolworths.com.au/shop/productdetails/113887
milk,56591,Norco Full Cream Milk,Norco,7.2,$2.40 / 1L,3L,https://cdn0.woolworths.media/content/wowproductimages/small/056591.jpg,https://www.woolworths.com.au/shop/productdetails/56591
milk,216872,a2 Milk Full Cream Milk,a2,4.1,$4.10 / 1L,1L,https://cdn0.woolworths.media/content/wowproductimages/small/216872.jpg,https://www.woolworths.com.au/shop/productdetails/216872
milk,665750,Woolworths Free From Lactose Full Cream Milk,Woolworths,3.4,$3.40 / 1L,1L,https://cdn0.woolworths.media/content/wowproductimages/small/665750.jpg,https://www.woolworths.com.au/shop/productdetails/665750
milk,6051862,Woolworths Free From Lactose Milk Full Cream,Woolworths,5.05,$2.53 / 1L,2L,https://cdn0.woolworths.media/content/wowproductimages/small/6051862.jpg,https://www.woolworths.com.au/shop/productdetails/6051862
milk,404980,Farmhouse Gold Full Cream Milk Milk,Farmhouse Gold,3.8,$5.07 / 1L,750mL,https://cdn0.woolworths.media/content/wowproductimages/small/404980.jpg,https://www.woolworths.com.au/shop/productdetails/404980
milk,316080,Norco Full Cream Milk,Norco,3.05,$3.05 / 1L,1L,https://cdn0.woolworths.media/content/wowproductimages/small/316080.jpg,https://www.woolworths.com.au/shop/productdetails/316080
milk,757826,Farmers Own Full Cream Homogenised,Farmers Own,3.95,$1.98 / 1L,2L,https://cdn0.woolworths.media/content/wowproductimages/small/757826.jpg,https://www.woolworths.com.au/shop/productdetails/757826
eggs,6023138,Pace Farm 18 For Everyone Free Range Large Eggs,Pace Farm,9.9,$1.10 / 100G,900g,https://cdn0.woolworths.media/content/wowproductimages/small/6023138.jpg,https://www.woolworths.com.au/shop/productdetails/6023138
eggs,771237,Sunny Queen 18 Large Free Range Eggs,Sunny Queen,13.2,$1.47 / 100G,900g,https://cdn0.woolworths.media/content/wowproductimages/small/771237.jpg,https://www.woolworths.com.au/shop/productdetails/771237
eggs,77170,Sunny Queen 12 Extra Large Free Range Eggs,Sunny Queen,7,$1.00 / 100G,700g,https://cdn0.woolworths.media/content/wowproductimages/small/077170.jpg,https://www.woolworths.com.au/shop/productdetails/77170
eggs,165367,Woolworths 12 Extra Large Cage Free Eggs,Woolworths,5.7,$0.81 / 100G,700g,https://cdn0.woolworths.media/content/wowproductimages/small/165367.jpg,https://www.woolworths.com.au/shop/productdetails/165367
eggs,313900,Manning Valley 12 Extra Large Free Range Eggs,Manning Valley,8.7,$1.24 / 100G,700g,https://cdn0.woolworths.media/content/wowproductimages/small/313900.jpg,https://www.woolworths.com.au/shop/productdetails/313900
eggs,224763,Woolworths 12 X-Large Free Range Eggs,Woolworths,6.5,$0.93 / 100G,700g,https://cdn0.woolworths.media/content/wowproductimages/small/224763.jpg,https://www.woolworths.com.au/shop/productdetails/224763
eggs,700426,Woolworths 6 Extra Large Free Range Eggs,Woolworths,4.9,$1.40 / 100G,350g,https://cdn0.woolworths.media/content/wowproductimages/small/700426.jpg,https://www.woolworths.com.au/shop/productdetails/700426
eggs,6023079,Pace Farm 12 For Everyone Extra Large Free Range Eggs,Pace Farm,,,700g,https://cdn0.woolworths.media/content/wowproductimages/small/6023079.jpg,https://www.woolworths.com.au/shop/productdetails/6023079
eggs,191726,Macro 12 Organic Large Free Range Eggs,Macro,10.6,$1.77 / 100G,600g,https://cdn0.woolworths.media/content/wowproductimages/small/191726.jpg,https://www.woolworths.com.au/shop/productdetails/191726
eggs,6023057,Pace Farm 18 For Everyone Large Barn Laid Eggs,Pace Farm,9.5,$1.06 / 100G,900g,https://cdn0.woolworths.media/content/wowproductimages/small/6023057.jpg,https://www.woolworths.com.au/shop/productdetails/6023057
eggs,118213,Simply Eggs 12 Extra Large Cage Free Eggs,Simply Eggs,5.9,$0.84 / 100G,700g,https://cdn0.woolworths.media/content/wowproductimages/small/118213.jpg,https://www.woolworths.com.au/shop/productdetails/118213
eggs,140770,Sunny Queen 12 Organic Extra Large Free Range Eggs,Sunny Queen,13.3,$1.90 / 100G,700g,https://cdn0.woolworths.media/content/wowproductimages/small/140770.jpg,https://www.woolworths.com.au/shop/productdetails/140770
eggs,689556,Manning Valley 18 Large Free Range Eggs,Manning Valley,12,$1.33 / 100G,900g,https://cdn0.woolworths.media/content/wowproductimages/small/689556.jpg,https://www.woolworths.com.au/shop/productdetails/689556
eggs,140588,Yallamundi Farm 12 Organic Extra Large Eggs,Yallamundi Farm,14.3,$2.04 / 100G,700g,https://cdn0.woolworths.media/content/wowproductimages/small/140588.jpg,https://www.woolworths.com.au/shop/productdetails/140588
eggs,203576,Yallamundi Farm 12 Extra Large Pasture Raised Free Range Eggs,Yallamundi Farm,,,700g,https://cdn0.woolworths.media/content/wowproductimages/small/203576.jpg,https://www.woolworths.com.au/shop/productdetails/203576
eggs,263708,Sunny Queen 30 Extra Large Cage Free Eggs Cage Free Eggs,Sunny Queen,18.15,$1.04 / 100G,1.75kg,https://cdn0.woolworths.media/content/wowproductimages/small/263708.jpg,https://www.woolworths.com.au/shop/productdetails/263708
eggs,74593,Woolworths 18 Large Cage Free Eggs,Woolworths,8,$0.89 / 100G,900g,https://cdn0.woolworths.media/content/wowproductimages/small/074593.jpg,https://www.woolworths.com.au/shop/productdetails/74593
eggs,224762,Woolworths 12 Large Free Range Eggs,Woolworths,6.2,$1.03 / 100G,600g,https://cdn0.woolworths.media/content/wowproductimages/small/224762.jpg,https://www.woolworths.com.au/shop/productdetails/224762
eggs,117784,Open Range 12 Extra Large Free Range Eggs,Open Range,7.6,$1.09 / 100G,700g,https://cdn0.woolworths.media/content/wowproductimages/small/117784.jpg,https://www.woolworths.com.au/shop/productdetails/117784
eggs,363392,Manning Valley 12 Jumbo Free Range Eggs,Manning Valley,9.9,$1.24 / 100G,800g,https://cdn0.woolworths.media/content/wowproductimages/small/363392.jpg,https://www.woolworths.com.au/shop/productdetails/363392
eggs,6024043,Pace Farm 12 For Everyone Extra Large Barn Laid Eggs,Pace Farm,6.4,$0.91 / 100G,700g,https://cdn0.woolworths.media/content/wowproductimages/small/6024043.jpg,https://www.woolworths.com.au/shop/productdetails/6024043
eggs,6024266,Pace Farm 6 For Everyone Large Barn Laid Eggs,Pace Farm,4.75,$1.36 / 100G,350g,https://cdn0.woolworths.media/content/wowproductimages/small/6024266.jpg,https://www.woolworths.com.au/shop/productdetails/6024266
eggs,6023772,Pace Farm 12 For Everyone Jumbo Barn Laid Eggs,Pace Farm,7.95,$0.99 / 100G,800g,https://cdn0.woolworths.media/content/wowproductimages/small/6023772.jpg,https://www.woolworths.com.au/shop/productdetails/6023772
eggs,386024,Ash & Sons 12 X Large Free Range Eggs,Ash & Sons,,,800g,https://cdn0.woolworths.media/content/wowproductimages/small/386024.jpg,https://www.woolworths.com.au/shop/productdetails/386024
eggs,206063,Yallamundi Farm 6 Organic Large Free Range Eggs,Yallamundi Farm,7.85,$2.62 / 100G,300g,https://cdn0.woolworths.media/content/wowproductimages/small/206063.jpg,https://www.woolworths.com.au/shop/productdetails/206063
chicken breast,710953,Woolworths RSPCA Approved Chicken Breast Fillet,Woolworths,9,$9.00 / 1KG,per 350g,https://cdn0.woolworths.media/content/wowproductimages/small/710953.jpg,https://www.woolworths.com.au/shop/productdetails/710953
