search_term,stockcode,name,brand,price,cup_price,package_size,image_url,url
Chicken,710953,Woolworths RSPCA Approved Chicken Breast Fillet,Woolworths,9,$9.00 / 1KG,per 350g,https://cdn0.woolworths.media/content/wowproductimages/small/710953.jpg,https://www.woolworths.com.au/shop/productdetails/710953
Chicken,114261,Woolworths RSPCA Approved Chicken Breast Diced,Woolworths,13.5,$13.50 / 1KG,1kg,https://cdn0.woolworths.media/content/wowproductimages/small/114261.jpg,https://www.woolworths.com.au/shop/productdetails/114261
Chicken,119259,Woolworths RSPCA Approved Chicken Breast Fillet Skinless Small,Woolworths,9.43,$14.50 / 1KG,500g - 650g,https://cdn0.woolworths.media/content/wowproductimages/small/119259.jpg,https://www.woolworths.com.au/shop/productdetails/119259
Chicken,700228,Macro Chicken Breast Fillets Free Range,Macro,19.18,$13.70 / 1KG,700g - 1.4kg,https://cdn0.woolworths.media/content/wowproductimages/small/700228.jpg,https://www.woolworths.com.au/shop/productdetails/700228
Chicken,353754,Woolworths RSPCA Approved Chicken Breast Diced,Woolworths,8.5,$17.00 / 1KG,500g,https://cdn0.woolworths.media/content/wowproductimages/small/353754.jpg,https://www.woolworths.com.au/shop/productdetails/353754
Chicken,742211,Woolworths RSPCA Approved Chicken Kebab Honey Soy,Woolworths,1.4,$1.40 / 1EA,each,https://cdn0.woolworths.media/content/wowproductimages/small/742211.jpg,https://www.woolworths.com.au/shop/productdetails/742211
Chicken,969723,Woolworths RSPCA Approved Chicken Breast Fillet,Woolworths,18.7,$11.00 / 1KG,1.3kg - 1.7kg,https://cdn0.woolworths.media/content/wowproductimages/small/969723.jpg,https://www.woolworths.com.au/shop/productdetails/969723
Chicken,764859,Macro Free Range Chicken Thigh Fillet,Macro,18.7,$17.00 / 1KG,800g - 1.1kg,https://cdn0.woolworths.media/content/wowproductimages/small/764859.jpg,https://www.woolworths.com.au/shop/productdetails/764859
Chicken,268603,Woolworths RSPCA Approved Chicken Whole,Woolworths,9.9,$4.50 / 1KG,1.8kg - 2.2kg,https://cdn0.woolworths.media/content/wowproductimages/small/268603.jpg,https://www.woolworths.com.au/shop/productdetails/268603
Chicken,2841,Woolworths RSPCA Approved Chicken Stirfry,Woolworths,7.7,$15.40 / 1KG,500g,https://cdn0.woolworths.media/content/wowproductimages/small/002841.jpg,https://www.woolworths.com.au/shop/productdetails/2841
Salmon,95171,Woolworths Fresh Tasmanian Atlantic Skin On Salmon Fillets,Woolworths,38,$38.00 / 1KG,per 200g,https://cdn0.woolworths.media/content/wowproductimages/small/095171.jpg,https://www.woolworths.com.au/shop/productdetails/95171
Salmon,157054,Woolworths Salmon Portions Skin On,Woolworths,19.5,$42.39 / 1KG,4 pack,https://cdn0.woolworths.media/content/wowproductimages/small/157054.jpg,https://www.woolworths.com.au/shop/productdetails/157054
